ws,wd
8.2,78
8.0,83
8.0,92
7.9,100
7.0,105
5.7,103
5.3,106
4.9,114
4.7,122
4.3,123
3.2,115
2.7,107
2.4,92
3.0,79
4.2,45
6.5,34
7.8,36
8.9,37
9.5,41
9.5,45
9.0,48
8.7,52
8.6,54
7.8,55
6.5,58
5.7,60
4.9,66
3.9,78
2.2,92
1.0,128
1.3,217
1.9,233
1.9,244
1.2,224
1.1,223
0.9,220
1.3,261
2.2,293
3.5,314
4.4,350
4.8,356
4.9,360
4.4,7
3.5,16
3.1,28
2.6,35
2.5,85
2.2,115
0.8,238
2.6,263
2.5,260
2.5,252
2.8,255
2.6,261
2.2,259
1.7,254
1.3,242
1.1,183
1.3,152
1.2,123
0.3,310
1.5,341
5.4,26
5.5,28
5.7,28
5.9,28
6.4,36
7.1,46
6.3,61
5.5,71
4.8,86
4.4,101
3.8,105
3.2,109
3.1,116
2.7,119
2.5,132
1.9,150
1.8,184
1.9,228
1.6,249
0.1,221
1.7,106
2.2,82
2.8,82
3.4,63
6.5,38
6.7,37
8.1,39
8.7,41
6.5,52
5.2,65
4.7,75
4.8,75
5.0,82
5.2,90
5.0,99
4.3,108
3.8,113
2.8,121
1.9,136
1.3,152
0.9,149
1.1,142
2.0,128
2.6,124
2.4,112
2.4,98
2.7,92
3.8,93
3.2,51
5.8,27
6.0,30
6.1,31
4.3,104
5.7,88
5.6,95
6.4,107
7.1,110
7.2,114
6.1,111
5.6,108
5.7,116
5.4,123
4.8,130
4.4,130
4.9,121
5.0,117
4.9,116
5.4,116
4.7,112
4.7,104
6.6,97
8.5,89
9.3,86
9.9,87
10.2,87
10.6,87
11.1,85
10.9,84
11.4,82
12.1,80
12.1,86
11.4,95
11.1,99
10.7,100
10.4,101
10.3,101
10.1,101
9.7,101
9.4,99
9.6,98
10.2,97
9.3,94
8.7,90
9.1,86
9.9,82
10.6,80
11.1,77
11.5,77
11.5,77
11.3,76
11.3,74
11.3,74
11.6,77
11.6,80
11.4,87
11.0,93
10.4,96
10.2,98
10.0,96
10.0,93
9.9,92
9.6,93
9.3,93
9.3,94
9.5,95
7.9,95
7.2,94
7.5,89
7.8,82
8.0,76
8.4,71
8.7,71
8.5,74
8.4,78
8.5,83
8.0,85
8.4,81
9.6,76
9.9,79
9.5,85
9.1,90
8.6,93
7.5,99
6.4,103
5.7,107
5.3,108
5.2,107
5.1,104
5.3,99
5.5,98
4.3,105
4.0,93
5.8,79
6.0,82
5.8,86
5.7,86
5.1,87
4.6,92
3.9,99
4.6,67
6.3,67
5.2,91
3.8,169
4.1,206
3.5,206
2.7,179
3.3,110
5.3,116
5.2,118
4.7,122
4.2,122
4.2,119
4.2,121
3.9,120
3.3,113
2.7,109
2.6,107
3.1,84
4.1,78
4.5,86
5.3,90
5.6,96
5.5,96
5.8,83
6.8,87
6.9,91
7.6,97
8.4,105
7.9,111
7.0,113
5.9,117
5.3,119
5.0,117
4.7,121
4.4,126
4.8,124
4.5,126
4.3,124
3.6,113
3.6,112
3.8,105
3.8,88
4.2,81
4.0,80
3.4,86
3.4,66
6.7,47
6.5,61
8.0,68
11.1,90
11.3,104
10.3,107
9.8,107
9.4,109
8.7,113
8.4,118
7.7,123
7.2,124
7.4,121
7.9,118
8.0,119
7.7,120
5.0,116
5.2,114
5.3,110
4.9,107
4.2,106
3.7,108
2.9,122
2.2,130
0.9,132
4.6,51
4.6,93
5.8,116
4.6,167
2.8,184
3.3,160
4.4,138
5.5,123
5.6,125
5.8,126
5.7,126
5.4,124
5.2,122
5.4,122
5.8,121
4.7,119
4.5,118
4.3,110
3.8,104
2.9,91
2.6,76
2.4,81
1.2,67
3.7,30
5.4,39
4.8,57
7.5,79
1.3,110
4.6,250
3.3,207
3.2,195
2.0,161
5.2,111
5.1,115
5.7,115
6.2,114
6.7,114
7.0,113
6.5,107
5.4,97
7.1,93
7.8,86
8.2,82
8.8,80
9.3,78
9.8,76
10.6,75
11.2,73
11.8,71
12.1,72
12.2,73
11.9,77
11.3,81
10.6,83
10.0,85
9.6,88
9.4,91
9.3,92
9.0,94
8.7,98
8.7,98
8.7,99
7.7,97
6.9,92
7.6,85
7.9,78
8.8,72
9.4,68
10.1,65
10.8,66
11.0,69
10.9,72
10.6,77
10.5,76
10.9,74
10.6,79
10.4,84
10.4,90
10.2,94
9.8,95
9.5,97
9.1,100
8.6,103
7.9,105
7.5,103
7.6,103
7.1,107
5.4,105
6.3,100
6.5,89
7.2,79
8.1,75
9.6,69
11.4,69
12.1,76
11.5,86
11.2,90
11.1,90
11.1,95
11.5,97
11.4,97
11.4,97
11.0,97
10.5,98
9.8,100
9.3,102
8.7,105
8.0,107
7.9,109
7.9,111
7.9,112
6.3,107
8.2,105
8.5,99
8.7,92
8.7,86
9.1,81
9.7,78
10.7,72
11.7,67
12.0,67
12.5,65
13.1,70
13.2,79
12.9,86
12.3,92
11.9,95
11.6,97
11.3,98
11.0,98
10.7,97
10.8,96
10.7,96
10.7,94
9.9,91
10.2,92
12.2,91
13.0,90
13.1,90
13.6,93
13.6,98
13.2,98
13.1,96
12.5,93
12.4,92
12.8,91
12.3,86
12.2,83
11.5,85
11.1,88
11.6,88
11.7,88
12.0,89
12.3,89
12.2,89
11.8,91
11.8,91
12.0,95
11.4,98
10.7,99
10.8,99
10.8,99
10.7,98
10.3,96
10.2,92
10.3,89
10.5,86
11.1,83
11.4,83
11.7,84
11.7,86
11.6,88
11.8,91
12.0,94
11.9,97
11.7,99
11.3,97
10.8,95
10.9,94
11.0,96
11.1,98
11.3,100
10.6,101
9.8,97
10.0,91
10.0,85
10.1,77
11.0,77
11.8,72
12.6,69
12.9,67
12.9,68
12.5,73
12.7,80
12.4,89
12.5,95
12.4,98
12.0,100
10.9,101
10.1,98
9.4,97
8.3,100
7.1,106
7.0,113
6.9,119
5.6,128
4.2,133
2.5,112
2.3,103
1.9,115
1.2,155
1.7,227
2.1,254
1.6,15
4.9,25
4.4,25
3.8,31
3.7,23
3.3,270
5.2,294
4.1,267
3.6,254
3.2,240
2.7,209
2.6,190
2.0,187
1.4,173
1.4,156
2.5,145
3.5,144
2.9,146
1.7,149
1.2,141
1.1,111
1.8,80
3.9,39
5.4,39
6.8,32
7.9,30
8.3,32
8.4,36
7.8,42
6.5,57
5.7,101
6.7,120
5.6,136
2.4,169
2.4,232
2.1,223
1.2,152
2.9,119
3.6,128
3.1,132
2.8,132
3.5,124
3.2,113
3.1,107
4.1,105
5.2,97
5.7,88
5.9,83
6.5,82
7.2,82
8.9,69
9.9,69
11.1,72
12.2,80
12.5,89
12.5,95
12.5,97
12.3,97
12.1,97
11.9,97
11.6,98
11.3,99
10.9,98
10.7,98
10.8,98
9.9,99
9.2,99
9.2,96
9.5,94
9.8,90
9.8,85
9.9,80
10.3,73
11.3,70
12.0,70
12.0,73
11.7,78
11.0,86
10.5,91
10.6,91
10.7,91
10.7,92
10.4,93
10.2,95
10.3,96
10.3,97
10.2,98
10.3,98
10.2,97
9.2,95
8.4,96
8.5,92
8.6,89
8.6,84
8.6,81
9.2,77
10.3,80
9.7,91
8.9,94
8.2,89
8.4,80
9.9,77
10.3,84
10.1,89
10.1,93
9.9,94
9.4,94
8.8,93
8.2,91
7.7,88
7.6,88
7.5,90
7.0,91
4.6,88
5.2,92
5.8,86
6.2,80
6.1,74
6.5,64
7.9,57
8.5,59
9.3,60
9.2,66
7.8,74
7.0,75
7.3,78
7.9,81
8.2,85
8.7,89
8.4,93
7.6,97
6.8,100
6.2,100
5.9,97
5.7,96
5.4,98
5.4,102
4.8,108
4.5,105
6.0,96
7.5,90
7.7,86
8.0,86
8.2,83
8.5,80
9.1,71
10.1,67
9.9,68
10.3,67
10.3,71
10.3,79
10.5,88
10.5,95
10.1,99
9.7,102
9.4,104
9.2,104
9.2,103
9.1,103
9.1,105
9.2,105
8.0,104
7.8,105
8.3,103
8.4,99
8.7,94
8.8,90
9.2,85
9.6,81
10.7,74
12.0,74
12.6,79
12.9,83
12.8,88
12.6,91
12.4,93
12.0,94
11.7,94
11.0,94
10.2,94
10.2,93
10.6,88
10.2,86
9.9,87
9.7,88
8.6,87
8.7,88
9.0,86
9.4,84
9.9,80
10.1,78
9.8,79
9.3,74
10.1,71
11.1,76
10.9,88
10.6,92
10.7,91
11.1,94
10.7,95
10.8,93
10.3,93
9.9,94
9.6,97
8.9,100
8.5,101
8.7,97
9.2,92
9.7,90
8.9,93
8.6,99
8.6,96
8.9,88
9.0,82
9.1,79
9.2,74
9.5,70
9.6,68
9.8,66
9.8,64
10.6,61
11.3,64
10.9,69
10.5,73
9.7,76
9.1,82
9.0,87
8.8,89
8.5,90
8.4,89
8.5,91
8.4,94
8.0,94
6.8,85
5.9,82
6.3,76
6.8,69
7.7,59
9.1,54
10.1,51
10.7,51
10.8,54
10.4,60
10.1,65
9.8,66
9.8,68
9.7,72
9.5,76
9.2,80
8.9,84
8.2,89
7.5,94
6.6,99
6.0,102
5.7,106
5.5,111
5.6,112
4.8,113
3.5,106
3.9,89
6.0,87
6.3,81
6.7,75
7.3,71
8.9,62
9.7,61
10.5,62
11.1,64
11.5,68
11.8,74
11.9,83
11.9,91
11.6,100
11.2,103
10.3,104
9.4,107
8.4,111
7.5,113
7.2,114
6.7,114
6.4,112
6.7,110
5.1,106
5.3,100
6.1,96
6.4,91
6.5,88
6.8,86
6.6,91
7.3,99
6.9,94
7.7,90
8.3,85
10.3,85
11.6,90
11.8,94
12.1,97
11.8,99
11.1,104
10.6,105
10.4,102
10.3,104
9.8,106
9.4,104
9.2,104
8.1,105
8.0,103
8.8,100
8.9,96
9.1,94
9.1,92
9.2,88
9.3,87
9.3,84
9.6,75
10.5,73
11.9,71
13.1,73
13.1,80
12.8,87
12.4,90
11.9,93
11.3,95
10.8,96
10.1,97
9.7,96
9.6,94
9.7,92
9.9,89
9.0,88
8.9,92
9.7,92
10.6,92
11.1,91
11.2,89
11.2,85
11.7,79
12.4,78
12.7,80
12.4,84
12.3,85
12.1,85
12.0,84
11.9,84
11.8,87
11.4,91
11.0,92
11.3,91
10.8,91
10.2,92
10.2,91
10.2,96
10.3,101
8.6,105
8.9,106
9.1,102
9.0,97
9.5,93
10.0,92
10.8,98
10.3,104
9.2,106
8.7,106
9.2,103
9.6,102
10.0,99
9.8,99
9.9,100
10.1,101
10.4,102
10.7,103
11.1,102
11.3,101
11.5,101
11.7,102
12.1,104
12.4,104
11.7,101
10.6,100
10.7,102
10.4,101
10.3,95
10.5,90
10.6,84
10.6,81
10.9,76
11.9,69
12.9,66
13.5,66
13.8,71
13.6,77
13.2,81
12.5,83
11.5,85
10.6,86
10.1,87
9.9,86
9.8,86
9.7,85
9.7,85
9.6,85
8.6,85
8.4,90
8.7,90
9.4,88
10.1,84
10.5,81
11.0,79
11.7,77
12.7,74
13.5,77
13.4,82
12.8,88
12.4,94
12.1,95
11.8,94
11.8,95
11.9,96
11.9,96
11.9,96
11.7,97
11.5,98
11.5,99
11.5,101
11.4,102
10.2,101
9.3,100
9.5,98
9.7,94
9.9,88
10.2,85
10.7,80
11.7,77
12.6,74
13.0,74
13.2,74
13.4,76
13.1,82
12.5,91
12.1,95
11.7,96
11.5,97
11.3,99
11.0,100
10.6,100
