time,price
4431,10703.74
4432,10703.74
4433,10703.74
4434,10703.74
4435,10703.74
4436,10703.74
4437,10703.74
4438,10703.74
4439,10703.74
4440,10703.74
4441,10703.74
4442,10703.74
4443,10703.74
4444,10703.74
4445,10703.74
4446,10703.74
4447,10703.74
4448,8722.69
4449,10703.74
4450,10703.74
4451,8717.05
4452,9279.11
4453,10703.74
4454,10703.74
4455,10703.74
4456,10026.50
4457,8638.09
4458,7657.31
4459,7566.59
4460,7588.43
4461,7607.54
4462,7577.51
4463,7290.48
4464,7388.74
4465,7388.74
4466,7388.74
4467,7388.74
4468,7388.74
4469,7211.35
4470,7066.38
4471,7056.22
4472,7608.51
4473,8289.15
4474,8148.24
4475,7340.58
4476,7323.56
4477,7893.35
4478,8495.16
4479,10703.74
4480,10703.74
4481,10703.74
4482,10671.22
4483,10616.20
4484,10703.74
4485,10703.74
4486,10703.74
4487,10703.74
4488,10694.40
4489,10694.40
4490,10694.40
4491,8633.41
4492,8559.94
4493,8545.25
4494,7787.24
4495,7407.59
4496,7289.49
4497,7343.81
4498,7405.22
4499,7192.97
4500,7289.49
4501,7296.58
4502,7431.20
4503,8367.26
4504,8633.41
4505,9890.98
4506,10694.40
4507,10694.40
4508,10694.40
4509,10694.40
4510,10694.40
4511,10694.40
4512,10694.40
4513,10694.40
4514,10694.40
4515,10694.40
4516,9069.85
4517,8576.01
4518,8029.90
4519,7240.72
4520,6690.48
4521,5603.98
4522,5271.76
4523,5271.76
4524,5271.76
4525,5271.76
4526,5271.76
4527,6762.22
4528,7203.60
4529,7412.35
4530,8473.53
4531,10277.01
4532,10694.40
4533,10694.40
4534,10694.40
4535,10694.40
4536,10694.40
4537,10694.40
4538,10694.40
4539,10694.40
4540,10694.40
4541,8763.09
4542,8718.27
4543,8689.89
4544,8763.09
4545,8413.86
4546,7537.72
4547,7732.67
4548,8496.08
4549,10694.40
4550,10694.40
4551,10694.40
4552,10694.40
4553,10694.40
4554,10694.40
4555,10694.40
4556,10694.40
4557,10694.40
4558,10694.40
4559,10694.40
4560,10694.40
4561,10694.40
4562,9082.76
4563,10694.40
4564,10694.40
4565,10187.98
4566,8881.81
4567,8881.81
4568,8881.81
4569,8272.42
4570,7634.27
4571,7634.27
4572,7600.50
4573,8718.04
4574,10439.17
4575,10694.40
4576,9283.71
4577,8881.81
4578,10694.40
4579,10694.40
4580,10694.40
4581,10694.40
4582,10694.40
4583,10694.40
4584,10694.40
4585,10694.40
4586,10694.40
4587,10694.40
4588,10694.40
4589,10694.40
4590,10694.40
4591,10694.40
4592,10694.40
4593,10694.40
4594,10694.40
4595,10694.40
4596,10694.40
4597,10694.40
4598,10694.40
4599,10694.40
4600,10694.40
4601,10694.40
4602,10694.40
4603,10694.40
4604,10694.40
4605,10694.40
4606,10694.40
4607,10694.40
4608,10694.40
4609,10694.40
4610,10694.40
4611,10694.40
4612,10694.40
4613,10694.40
4614,10017.89
4615,8804.85
4616,8726.79
4617,8673.14
4618,7568.37
4619,7653.75
4620,7658.70
4621,8820.46
4622,8127.53
4623,8807.97
4624,10122.01
4625,10694.40
4626,10694.40
4627,10694.40
4628,10694.40
4629,10694.40
4630,10694.40
4631,10694.40
4632,10694.40
4633,10694.40
4634,10694.40
4635,10694.40
4636,10694.40
4637,10694.40
4638,10694.40
4639,10694.40
4640,10694.40
4641,9796.13
4642,8466.76
4643,8071.56
4644,8743.46
4645,8743.46
4646,10694.40
4647,10694.40
4648,10694.40
4649,10694.40
4650,10694.40
4651,10694.40
4652,10694.40
4653,10694.40
4654,10694.40
4655,10694.40
4656,10676.52
4657,10676.52
4658,10676.52
4659,10676.52
4660,10676.52
4661,10676.52
4662,10676.52
4663,10676.52
4664,8896.36
4665,10544.49
4666,10676.52
4667,9927.42
4668,8577.37
4669,8857.51
4670,10676.52
4671,10676.52
4672,10676.52
4673,10676.52
4674,10676.52
4675,10676.52
4676,10676.52
4677,10676.52
4678,10676.52
4679,10676.52
4680,10676.52
4681,10676.52
4682,10676.52
4683,10676.52
4684,9284.59
4685,8048.66
4686,7475.28
4687,7257.64
4688,7227.65
4689,7287.63
4690,7243.64
4691,7167.67
4692,7183.66
4693,7305.49
4694,7330.49
4695,7391.28
4696,7500.20
4697,7695.11
4698,7845.28
4699,10445.70
4700,10676.52
4701,10676.52
4702,10676.52
4703,10676.52
4704,10676.52
4705,10676.52
4706,10676.52
4707,10676.52
4708,10676.52
4709,10676.52
4710,10676.52
4711,10676.52
4712,10676.52
4713,10676.52
4714,10676.52
4715,8526.32
4716,8805.32
4717,10676.52
4718,10676.52
4719,10676.52
4720,10676.52
4721,10676.52
4722,10676.52
4723,10676.52
4724,10676.52
4725,10676.52
4726,10676.52
4727,10676.52
4728,10676.52
4729,10676.52
4730,10676.52
4731,10676.52
4732,10676.52
4733,10676.52
4734,10491.87
4735,8681.41
4736,8534.35
4737,8704.48
4738,8482.19
4739,7698.15
4740,8575.98
4741,10676.52
4742,10676.52
4743,10676.52
4744,10676.52
4745,10676.52
4746,10676.52
4747,10676.52
4748,10676.52
4749,10676.52
4750,10676.52
4751,10676.52
4752,10676.52
4753,10676.52
4754,10676.52
4755,10676.52
4756,10676.52
4757,10676.52
4758,10676.52
4759,10676.52
4760,10676.52
4761,10676.52
4762,10676.52
4763,10652.78
4764,8656.22
4765,9319.94
4766,10676.52
4767,10676.52
4768,10676.52
4769,10676.52
4770,10676.52
4771,10676.52
4772,10676.52
4773,10676.52
4774,10676.52
4775,10676.52
4776,10676.52
4777,10676.52
4778,10676.52
4779,10676.52
4780,10676.52
4781,10676.52
4782,10676.52
4783,10676.52
4784,10676.52
4785,10676.52
4786,8749.19
4787,8734.55
4788,8253.92
4789,10676.52
4790,10676.52
4791,10676.52
4792,10676.52
4793,10676.52
4794,10676.52
4795,10676.52
4796,10676.52
4797,10676.52
4798,10676.52
4799,10676.52
4800,10676.52
4801,10676.52
4802,10676.52
4803,10676.52
4804,10676.52
4805,10676.52
4806,10676.52
4807,10676.52
4808,10676.52
4809,10676.52
4810,10676.52
4811,10676.52
4812,9535.82
4813,9936.23
4814,10676.52
4815,10676.52
4816,10676.52
4817,8778.70
4818,10676.52
4819,10676.52
4820,10676.52
4821,10676.52
4822,10676.52
4823,10676.52
4824,10713.46
4825,10713.46
4826,10713.46
4827,10713.46
4828,10713.46
4829,10713.46
4830,9596.13
4831,7997.43
4832,7997.43
4833,8608.79
4834,7775.67
4835,7482.45
4836,7482.45
4837,7482.45
4838,7482.45
4839,7482.45
4840,7588.38
4841,7597.10
4842,7617.88
4843,8369.66
4844,8639.54
4845,8609.70
4846,9478.70
4847,10713.46
4848,10713.46
4849,10473.72
4850,8572.80
4851,8494.89
4852,7908.77
4853,7568.68
4854,7476.57
4855,7372.69
4856,6890.12
4857,5999.88
4858,5762.77
4859,5051.45
4860,5067.25
4861,6106.60
4862,6914.61
4863,7375.97
4864,7499.31
4865,7562.26
4866,7745.07
4867,9611.51
4868,10713.46
4869,10713.46
4870,10713.46
4871,10713.46
4872,10713.46
4873,10713.46
4874,10713.46
4875,10713.46
4876,10713.46
4877,9691.76
4878,8535.71
4879,8496.87
4880,8113.37
4881,7642.75
4882,7653.84
4883,7678.56
4884,7540.59
4885,8202.45
4886,8208.32
4887,8331.93
4888,8554.47
4889,8530.24
4890,8631.49
4891,8623.72
4892,10713.46
4893,10713.46
4894,10713.46
4895,10713.46
4896,10713.46
4897,10713.46
4898,10713.46
4899,8421.18
4900,8421.18
4901,8410.89
4902,8030.48
4903,7659.15
4904,8400.60
4905,7995.37
4906,7420.07
4907,7144.08
4908,6354.66
4909,7457.68
4910,7570.02
4911,7998.39
4912,8421.18
4913,8421.18
4914,9273.10
4915,10713.46
4916,10713.46
4917,10713.46
4918,10713.46
4919,8357.96
4920,8409.86
4921,7652.81
4922,7521.09
4923,7571.86
4924,7552.66
4925,7477.06
4926,7431.57
4927,7419.52
4928,7419.52
4929,6640.29
4930,6002.73
4931,5904.80
4932,5088.11
4933,5466.57
4934,6699.26
4935,7508.21
4936,7549.75
4937,7648.49
4938,7619.36
4939,7950.08
4940,8435.07
4941,8435.07
4942,8435.07
4943,8435.07
4944,8303.29
4945,8303.29
4946,8303.29
4947,8143.59
4948,7487.25
4949,7434.59
4950,7434.59
4951,7434.59
4952,7434.59
4953,7434.59
4954,7325.93
4955,7382.71
4956,7429.15
4957,7548.43
4958,7876.39
4959,8856.21
4960,10713.46
4961,10713.46
4962,10713.46
4963,10713.46
4964,10713.46
4965,10713.46
4966,10713.46
4967,10713.46
4968,10713.46
4969,10713.46
4970,10713.46
4971,8395.02
4972,8395.02
4973,8395.02
4974,8343.88
4975,7894.77
4976,8024.20
4977,8073.24
4978,7452.49
4979,7452.49
4980,7318.41
4981,7507.15
4982,7663.77
4983,8396.76
4984,10713.46
4985,10713.46
4986,10713.46
4987,10713.46
4988,10713.46
4989,10713.46
4990,10713.46
4991,10713.46
4992,10726.15
4993,10726.15
4994,10726.15
4995,10726.15
4996,10726.15
4997,10726.15
4998,9476.26
4999,7830.69
5000,7571.87
5001,7553.42
5002,7633.86
5003,7836.02
5004,7609.70
5005,7572.25
5006,7994.46
5007,8446.83
5008,10665.20
5009,10726.15
5010,10726.15
5011,10398.79
5012,10726.15
5013,10726.15
5014,10726.15
5015,10726.15
5016,10726.15
5017,10726.15
5018,10726.15
5019,10526.90
5020,8276.46
5021,8235.34
5022,7776.34
5023,7369.46
5024,6129.24
5025,5487.71
5026,5205.73
5027,5205.73
5028,5205.73
5029,5205.73
5030,7136.63
5031,6011.38
5032,6011.38
5033,6517.88
5034,7096.73
5035,7239.13
5036,7546.43
5037,7544.80
5038,7495.04
5039,7380.32
5040,8053.30
5041,8171.14
5042,7847.57
5043,7560.41
5044,7544.55
5045,7446.20
5046,7397.03
5047,7397.03
5048,7772.04
5049,7760.87
5050,7397.03
5051,7219.35
5052,6138.63
5053,6526.88
5054,7671.08
5055,7834.44
5056,7571.25
5057,7562.18
5058,7546.90
5059,7848.45
5060,8034.80
5061,8199.45
5062,8256.06
5063,8283.45
5064,8677.19
5065,8313.42
5066,7969.21
5067,7707.05
5068,7554.77
5069,7550.19
5070,7550.19
5071,7406.53
5072,7322.66
5073,6658.00
5074,6012.46
5075,6010.50
5076,6010.50
5077,6010.50
5078,7047.86
5079,7550.19
5080,7550.19
5081,7550.19
5082,7550.19
5083,7941.06
5084,8233.13
5085,8233.13
5086,8218.93
5087,7805.47
5088,7543.97
5089,7543.97
5090,7543.97
5091,7542.92
5092,7542.17
5093,7448.29
5094,7097.48
5095,5998.90
5096,5990.14
5097,5990.14
5098,5794.70
5099,5208.39
5100,5403.83
5101,5992.97
5102,7285.79
5103,7339.36
5104,7542.17
5105,7543.55
5106,7543.97
5107,7830.82
5108,8206.71
